Subject,Friend_R,Friend_D,Stranger_R,Stranger_D,Computer_R,Computer_D
sub02,0.031,0.026,0.120,-0.039,0.068,0.022
sub03,-0.001,0.038,0.064,-0.061,-0.066,-0.100
sub04,-0.019,-0.125,-0.066,-0.048,-0.124,-0.025
sub05,-0.090,-0.047,-0.112,-0.156,-0.002,-0.107
sub06,-0.163,-0.102,-0.143,-0.014,-0.168,-0.117
sub07,0.022,-0.037,-0.020,0.048,0.051,-0.033
sub08,-0.074,0.019,-0.163,-0.028,-0.128,-0.014
sub09,-0.128,-0.067,0.033,-0.021,-0.060,-0.004
sub10,0.053,0.007,-0.101,-0.001,-0.135,-0.140
sub11,-0.027,-0.164,-0.154,-0.020,-0.144,-0.073
sub12,-0.032,-0.100,-0.038,-0.059,-0.073,-0.056
sub16,-0.049,-0.116,-0.166,-0.010,-0.093,-0.020
sub17,0.109,0.162,0.040,0.023,0.052,-0.039
sub18,-0.054,0.014,-0.108,-0.068,-0.123,-0.160
sub19,0.009,0.049,-0.105,-0.008,-0.045,0.011
sub20,-0.099,-0.114,-0.138,-0.173,-0.203,-0.160
sub21,-0.026,0.005,0.043,0.023,0.079,0.060
sub22,-0.096,-0.100,-0.017,-0.095,-0.085,-0.128
sub24,0.070,0.045,0.115,0.155,0.038,0.086
sub25,-0.060,-0.114,-0.055,-0.045,-0.102,-0.011
sub26,0.019,-0.054,0.053,-0.090,-0.154,-0.070
sub27,-0.032,-0.102,-0.132,0.010,-0.013,0.010
sub28,-0.086,0.004,0.030,-0.028,0.124,-0.002
sub30,-0.056,-0.048,-0.151,0.001,-0.129,0.052
sub31,0.059,0.043,-0.042,0.088,-0.011,0.006
sub32,-0.002,-0.017,0.004,-0.025,-0.196,-0.073
