Subject,Friend_R,Friend_D,Stranger_R,Stranger_D,Computer_R,Computer_D
sub02,0.092,0.171,0.128,0.079,0.003,-0.046
sub03,-0.048,0.114,0.001,0.040,-0.085,-0.125
sub04,-0.027,-0.018,0.096,-0.005,-0.094,-0.124
sub05,-0.041,0.030,0.037,-0.028,-0.042,-0.083
sub06,0.104,0.165,0.117,-0.014,-0.029,-0.011
sub07,0.081,-0.026,0.086,0.052,-0.046,-0.233
sub08,0.054,-0.069,-0.007,0.073,-0.109,-0.121
sub09,0.118,0.002,0.017,-0.012,-0.048,-0.090
sub10,0.020,0.001,0.009,0.071,0.060,-0.079
sub11,-0.078,-0.035,0.123,0.070,0.008,-0.051
sub12,0.120,0.107,0.204,0.219,-0.005,0.001
sub16,0.093,0.106,0.088,0.062,-0.014,-0.085
sub17,0.115,0.172,0.046,0.078,0.005,-0.039
sub18,0.062,-0.169,-0.093,-0.121,-0.029,-0.010
sub19,0.085,-0.079,0.025,0.025,-0.079,-0.136
sub20,0.022,-0.115,0.049,0.097,-0.133,-0.212
sub21,0.015,0.017,0.079,0.036,-0.027,0.045
sub22,0.054,0.121,0.014,0.018,-0.053,-0.012
sub24,0.020,0.048,-0.015,0.086,-0.044,0.007
sub25,0.083,-0.015,-0.023,0.005,-0.222,-0.093
sub26,0.064,0.088,0.111,0.096,0.020,-0.043
sub27,0.233,-0.017,0.138,0.123,-0.018,0.108
sub28,0.081,-0.015,-0.024,-0.089,-0.020,-0.085
sub30,-0.021,-0.013,-0.118,-0.091,-0.086,-0.043
sub31,0.114,0.078,0.072,-0.075,-0.091,-0.048
sub32,-0.029,0.060,-0.018,-0.078,-0.185,-0.029
